Predicted Shock Arrival Time,Difference (hrs),Confidence (%),Submitted On,Lead Time (hrs),Predicted Geomagnetic Storm Parameter(s),Method,Submitted By,CME
"2016-02-09T07:00Z(-12.0h, +12.0h)",-56.9,40,2016-02-06T12:17Z,123.62,Max Kp Range: 3.0 - 6.0,SIDC ,Leila Mays (GSFC),2016-02-05T213000-CME-001
"2016-02-09T18:00Z(-7.0h, +7.0h)",-45.9,NA,2016-02-06T16:19Z,119.58,NA,WEC (GSFC SWRC) ,Leila Mays (GSFC),2016-02-05T213000-CME-001
2016-02-14T18:37Z,-10.63,100,2016-02-12T18:39Z,58.6,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2016-02-11T212800-CME-001
2016-02-15T01:00Z,-4.25,NA,2016-02-12T17:19Z,59.93,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2016-02-11T212800-CME-001
2016-02-15T03:00Z,-2.25,NA,2016-02-12T12:20Z,64.92,Max Kp Range: 3.0 - 5.0,WEC (Met Office) ,Met Office (Met Office),2016-02-11T212800-CME-001
"2016-02-15T03:00Z(-12.0h, +12.0h)",-2.25,70,2016-02-11T23:53Z,77.37,Max Kp Range: 4.0 - 7.0,SIDC ,Leila Mays (GSFC),2016-02-11T212800-CME-001
2016-02-15T03:42Z,-1.55,83.6667,NA,NA,Max Kp Range: 3.2 - 5.33333, Average of all Methods ,Auto Generated (CCMC),2016-02-11T212800-CME-001
"2016-02-15T05:51Z(-7.0h, +7.0h)",0.6,NA,2016-02-12T02:52Z,74.38,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Ethan Robinett (CUA),2016-02-11T212800-CME-001
"2016-02-15T05:51Z(-7.0h, +7.0h)",0.6,81,2016-02-17T02:22Z,-45.12,Max Kp Range: 3.0 - 5.0,Ensemble WEC (GSFC SWRC) ,Ethan Robinett (CUA),2016-02-11T212800-CME-001
"2016-02-15T06:14Z(-7.0h, +7.0h)",0.98,NA,2016-02-12T02:27Z,74.8,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Karin Muglach (GSFC),2016-02-11T212800-CME-001
2016-02-15T10:04Z,4.82,NA,2016-02-12T18:33Z,58.7,NA,SPM ,Xinhua Zhao (NSSC CAS),2016-02-11T212800-CME-001
2016-03-12T13:24Z,33.05,0,2016-03-12T11:16Z,-30.92,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2016-03-08T200000-CME-001
2016-03-12T20:00Z,39.65,20,2016-03-09T17:02Z,35.32,Max Kp Range: 3.0 - 5.0,WEC (Met Office) ,Met Office (Met Office),2016-03-08T200000-CME-001
2016-03-12T20:43Z,40.37,10,NA,NA,Max Kp Range: 3.0 - 5.0, Average of all Methods ,Auto Generated (CCMC),2016-03-08T200000-CME-001
2016-03-13T04:45Z,48.4,NA,2016-03-12T11:15Z,-30.9,NA,SPM ,Xinhua Zhao (NSSC CAS),2016-03-08T200000-CME-001
2016-03-25T22:50Z,NA,100,2016-03-25T21:57Z,0.88,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2016-03-23T050000-CME-001
"2016-03-26T04:00Z(-7.0h, +7.0h)",NA,NA,2016-03-23T22:52Z,53.13,NA,WEC (GSFC SWRC) ,Leila Mays (GSFC),2016-03-23T050000-CME-001
2016-03-26T11:12Z,NA,70,NA,NA,Max Kp Range: 3.0 - 4.0, Average of all Methods ,Auto Generated (CCMC),2016-03-23T050000-CME-001
2016-03-26T19:58Z,NA,NA,2016-03-25T22:00Z,21.97,NA,SPM ,Xinhua Zhao (NSSC CAS),2016-03-23T050000-CME-001
