Predicted Shock Arrival Time,Difference (hrs),Confidence (%),Submitted On,Lead Time (hrs),Predicted Geomagnetic Storm Parameter(s),Method,Submitted By,CME
"2013-03-16T16:59Z(-7.0h, +7.0h)",-12.48,NA,2013-03-15T14:04Z,39.4,Max Kp Range: 6.0 - 8.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-03-15T065400-CME-001
2013-03-16T20:00Z,-9.47,NA,2013-03-15T11:43Z,41.75,Max Kp Range: 5.0 - 6.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-03-15T065400-CME-001
2013-03-17T00:00Z,-5.47,NA,2013-03-15T23:30Z,29.97,NA,ips.gov.au ,Leila Mays (GSFC),2013-03-15T065400-CME-001
2013-03-17T00:00Z,-5.47,NA,2013-03-16T00:39Z,28.82,NA,HAFv.3,Leila Mays (GSFC),2013-03-15T065400-CME-001
2013-03-17T01:00Z,-4.47,NA,2013-03-15T13:00Z,40.47,Dst min. in nT: -139 Dst min. time: 2013-03-17T11:00Z ,Anemomilos ,Leila Mays (GSFC),2013-03-15T065400-CME-001
2013-03-17T06:51Z,1.38,NA,NA,NA,Max Kp Range: 5.5 - 7.0, Average of all Methods ,Auto Generated (CCMC),2013-03-15T065400-CME-001
2013-03-17T09:00Z,3.53,NA,2013-03-16T01:26Z,28.03,NA, ESA ,Leila Mays (GSFC),2013-03-15T065400-CME-001
2013-03-17T10:46Z,5.3,NA,2013-03-16T10:41Z,18.78,NA,DBM ,Leila Mays (GSFC),2013-03-15T065400-CME-001
2013-03-17T15:00Z,9.53,NA,2013-03-16T12:29Z,16.98,Max Kp Range: -- - 7.0,BHV ,Leila Mays (GSFC),2013-03-15T065400-CME-001
2013-03-18T13:00Z,31.53,NA,2013-03-15T13:19Z,40.15,NA,SIDC ,Leila Mays (GSFC),2013-03-15T065400-CME-001
2013-04-12T10:00Z,-36.2,NA,2013-04-11T16:20Z,53.87,Dst min. in nT: -143 Dst min. time: 2013-04-12T20:00Z ,Anemomilos ,WKent Tobiska (SET SWD),2013-04-11T073600-CME-001
2013-04-12T21:29Z,-24.72,NA,2013-04-11T20:18Z,49.9,NA, STOA ,Leila Mays (GSFC),2013-04-11T073600-CME-001
2013-04-13T00:40Z,-21.53,NA,2013-04-11T09:42Z,60.5,NA, ESA ,Leila Mays (GSFC),2013-04-11T073600-CME-001
2013-04-13T01:00Z,-21.2,NA,2013-04-12T18:26Z,27.77,Dst min. in nT: -151 Dst min. time: 2013-04-13T11:00Z ,Anemomilos ,WKent Tobiska (SET SWD),2013-04-11T073600-CME-001
"2013-04-13T05:57Z(-7.0h, +7.0h)",-16.25,NA,2013-04-11T16:00Z,54.2,Max Kp Range: 6.0 - 8.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-04-11T073600-CME-001
2013-04-13T06:00Z,-16.2,NA,2013-04-11T11:30Z,58.7,Max Kp Range: -- - 7.0,SIDC ,Leila Mays (GSFC),2013-04-11T073600-CME-001
2013-04-13T10:00Z,-12.2,NA,2013-04-13T08:28Z,13.73,Dst min. in nT: -139 Dst min. time: 2013-04-13T22:00Z ,Anemomilos ,WKent Tobiska (SET SWD),2013-04-11T073600-CME-001
2013-04-13T10:33Z,-11.65,NA,NA,NA,Max Kp Range: 5.5 - 7.0825, Average of all Methods ,Auto Generated (CCMC),2013-04-11T073600-CME-001
2013-04-13T20:00Z,-2.2,NA,2013-04-11T13:38Z,56.57,Max Kp Range: 5.0 - 6.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-04-11T073600-CME-001
2013-04-13T22:00Z,-0.2,NA,2013-04-13T18:35Z,3.62,Dst min. in nT: -148 Dst min. time: 2013-04-14T08:00Z ,Anemomilos ,WKent Tobiska (SET SWD),2013-04-11T073600-CME-001
2013-04-14T00:00Z,1.8,NA,2013-04-13T04:31Z,17.68,NA, HAFv2w ,Leila Mays (GSFC),2013-04-11T073600-CME-001
"2013-04-14T02:40Z(-2.0h, +2.0h)",4.47,NA,2013-04-11T16:22Z,53.83,NA,DBM ,Leila Mays (GSFC),2013-04-11T073600-CME-001
2013-04-14T03:00Z,4.8,NA,2013-04-12T15:47Z,30.42,Max Kp Range: -- - 7.33Dst min. time: 2013-04-14T09:00Z ,BHV ,Leila Mays (GSFC),2013-04-11T073600-CME-001
"2013-05-18T20:55Z(-10.0h, +10.0h)",-25.42,NA,2013-05-18T07:51Z,38.48,NA, STOA ,Leila Mays (GSFC),2013-05-17T092400-CME-001
2013-05-19T11:45Z,-10.58,NA,NA,NA,Max Kp Range: 5.0 - 6.0, Average of all Methods ,Auto Generated (CCMC),2013-05-17T092400-CME-001
"2013-05-19T11:59Z(-7.0h, +7.0h)",-10.35,NA,2013-05-17T17:03Z,53.28,Max Kp Range: 5.0 - 6.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-05-17T092400-CME-001
2013-05-19T12:00Z,-10.33,NA,2013-05-17T13:07Z,57.22,NA,SIDC ,Leila Mays (GSFC),2013-05-17T092400-CME-001
2013-05-19T14:00Z,-8.33,NA,2013-05-18T00:30Z,45.83,Max Kp Range: 5.0 - 6.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-05-17T092400-CME-001
"2013-05-19T15:37Z(-7.0h, +7.0h)",-6.72,NA,2013-05-17T23:45Z,46.58,Max Kp Range: 5.0 - 6.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-05-17T092400-CME-001
2013-05-19T20:00Z,-2.33,NA,2013-05-17T23:52Z,46.47,Dst min. in nT: -33 Dst min. time: 2013-05-20T07:00Z ,Anemomilos ,Leila Mays (GSFC),2013-05-17T092400-CME-001
"2013-05-23T23:26Z(-10.0h, +10.0h)",-18.15,NA,2013-05-22T18:35Z,47,NA, STOA ,Leila Mays (GSFC),2013-05-22T132400-CME-001
2013-05-24T09:00Z,-8.58,NA,2013-05-22T21:43Z,43.87,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-05-22T132400-CME-001
2013-05-24T15:30Z,-2.08,NA,2013-05-22T18:59Z,46.6,Max Kp Range: 6.0 - 7.66,BHV ,Leila Mays (GSFC),2013-05-22T132400-CME-001
2013-05-24T20:11Z,2.6,NA,NA,NA,Max Kp Range: 4.33333 - 5.665, Average of all Methods ,Auto Generated (CCMC),2013-05-22T132400-CME-001
"2013-05-25T12:00Z(-7.0h, +7.0h)",18.42,NA,2013-05-22T19:18Z,46.28,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-05-22T132400-CME-001
2013-05-25T17:00Z,23.42,NA,2013-05-22T17:28Z,48.12,Max Kp Range: 4.0 - 5.0,SIDC ,Leila Mays (GSFC),2013-05-22T132400-CME-001
"2013-06-22T10:17Z(-7.0h, +7.0h)",-17.47,NA,2013-06-21T15:01Z,36.73,Max Kp Range: 6.0 - 7.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-06-21T032400-CME-001
2013-06-22T23:08Z,-4.62,NA,NA,NA,Max Kp Range: 4.5 - 5.5, Average of all Methods ,Auto Generated (CCMC),2013-06-21T032400-CME-001
2013-06-23T12:00Z,8.25,NA,2013-06-22T12:30Z,15.25,Max Kp Range: 3.0 - 4.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-06-21T032400-CME-001
2013-06-30T12:00Z,1.33,NA,2013-06-28T17:43Z,40.95,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-06-28T015400-CME-001
"2013-06-30T12:00Z(-7.0h, +7.0h)",1.33,NA,2013-06-28T19:23Z,39.28,NA,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-06-28T015400-CME-001
2013-06-30T21:30Z,10.83,NA,NA,NA,Max Kp Range: -- - 5.0, Average of all Methods ,Auto Generated (CCMC),2013-06-28T015400-CME-001
2013-07-01T00:00Z,13.33,NA,2013-06-28T12:34Z,46.1,NA,SIDC ,Leila Mays (GSFC),2013-06-28T015400-CME-001
2013-07-01T14:00Z,27.33,NA,2013-06-29T19:24Z,15.27,Dst min. in nT: -31 Dst min. time: 2013-07-01T23:59Z ,Anemomilos ,WKent Tobiska (SET SWD),2013-06-28T015400-CME-001
"2013-07-12T17:53Z(-7.0h, +7.0h)",-7.12,NA,2013-07-09T20:57Z,76.05,Max Kp Range: 4.0 - 6.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-07-09T150900-CME-001
2013-07-13T05:57Z,4.95,NA,NA,NA,Max Kp Range: 4.5 - 5.66667, Average of all Methods ,Auto Generated (CCMC),2013-07-09T150900-CME-001
2013-07-13T11:00Z,10,NA,2013-07-10T17:43Z,55.28,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-07-09T150900-CME-001
2013-07-13T13:00Z,12,NA,2013-07-10T12:17Z,60.72,Max Kp Range: 5.0 - 6.0,SIDC ,Leila Mays (GSFC),2013-07-09T150900-CME-001
2013-07-15T10:00Z,NA,NA,2013-07-10T22:42Z,107.3,Dst min. in nT: -30 Dst min. time: 2013-07-15T21:00Z ,Anemomilos ,WKent Tobiska (SET SWD),2013-07-10T062400-CME-001
2013-07-15T10:00Z,NA,NA,NA,NA,NA, Average of all Methods ,Auto Generated (CCMC),2013-07-10T062400-CME-001
2013-08-05T04:00Z,NA,NA,2013-08-03T05:25Z,46.58,Max Kp Range: -- - 4.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-08-02T142400-CME-001
"2013-08-05T06:00Z(-7.0h, +7.0h)",NA,NA,2013-08-02T07:41Z,70.32,NA,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-08-02T142400-CME-001
2013-08-08T18:20Z,NA,NA,NA,NA,Max Kp Range: -- - 4.0, Average of all Methods ,Auto Generated (CCMC),2013-08-02T142400-CME-001
2013-08-15T21:00Z,NA,NA,2013-08-12T18:52Z,74.13,Dst min. in nT: -61 Dst min. time: 2013-08-16T08:00Z ,Anemomilos ,WKent Tobiska (SET SWD),2013-08-02T142400-CME-001
2013-08-20T14:00Z,-7.57,NA,2013-08-18T17:00Z,52.57,Dst min. in nT: -32 Dst min. time: 2013-08-21T01:00Z ,Anemomilos ,Leila Mays (GSFC),2013-08-17T192400-CME-001
2013-08-20T14:00Z,-7.57,NA,NA,NA,NA, Average of all Methods ,Auto Generated (CCMC),2013-08-17T192400-CME-001
2013-08-22T23:11Z,4.47,NA,NA,NA,Max Kp Range: 3.0 - 5.0, Average of all Methods ,Auto Generated (CCMC),2013-08-20T082400-CME-001
"2013-08-22T23:11Z(-7.0h, +7.0h)",4.47,NA,2013-08-20T12:50Z,53.88,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-08-20T082400-CME-001
2013-08-23T23:59Z,0.07,NA,NA,NA,Max Kp Range: 4.0 - 6.0, Average of all Methods ,Auto Generated (CCMC),2013-08-21T052400-CME-001
"2013-08-23T23:59Z(-7.0h, +7.0h)",0.07,NA,2013-08-21T17:12Z,54.72,Max Kp Range: 4.0 - 6.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-08-21T052400-CME-001
"2013-08-31T17:59Z(-10.0h, +10.0h)",-31.52,NA,2013-08-30T19:12Z,54.3,NA, STOA ,Leila Mays (GSFC),2013-08-30T024800-CME-001
2013-08-31T21:00Z,-28.5,NA,2013-08-30T12:55Z,60.58,NA,SIDC ,Leila Mays (GSFC),2013-08-30T024800-CME-001
2013-09-01T00:49Z,-24.68,NA,NA,NA,Max Kp Range: 4.0 - 5.0, Average of all Methods ,Auto Generated (CCMC),2013-08-30T024800-CME-001
2013-09-01T03:00Z,-22.5,NA,2013-08-30T15:21Z,58.15,Max Kp Range: 5.0 - --,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-08-30T024800-CME-001
"2013-09-01T06:00Z(-7.0h, +7.0h)",NA,NA,2013-08-29T15:10Z,62.83,NA,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-08-29T060000-CME-001
"2013-09-01T09:19Z(-7.0h, +7.0h)",-16.18,NA,2013-08-30T14:15Z,59.25,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-08-30T024800-CME-001
2013-09-02T01:00Z,NA,NA,NA,NA,NA, Average of all Methods ,Auto Generated (CCMC),2013-08-29T060000-CME-001
2013-09-02T20:00Z,NA,NA,2013-08-30T12:55Z,79.08,NA,SIDC ,Leila Mays (GSFC),2013-08-29T060000-CME-001
2013-09-23T00:00Z,NA,NA,2013-09-19T15:37Z,80.38,NA,SIDC ,Leila Mays (GSFC),2013-09-19T042500-CME-001
2013-09-23T07:00Z,NA,NA,2013-09-19T17:05Z,85.92,NA,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-09-19T042500-CME-001
"2013-09-23T08:00Z(-7.0h, +7.0h)",NA,NA,2013-09-20T15:41Z,64.32,NA,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-09-19T042500-CME-001
2013-09-23T11:05Z,NA,NA,NA,NA,NA, Average of all Methods ,Auto Generated (CCMC),2013-09-19T042500-CME-001
2013-09-24T05:21Z,NA,NA,2013-09-19T19:16Z,106.08,NA,DBM ,Leila Mays (GSFC),2013-09-19T042500-CME-001
"2013-10-02T04:42Z(-10.9h, +9.4h)",3.37,NA,2013-10-01T17:33Z,7.78,Max Kp Range: 3.0 - 6.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-09-29T224000-CME-001
"2013-10-02T06:15Z(-10.0h, +10.0h)",4.92,NA,2013-10-01T20:16Z,5.07,NA, STOA ,Leila Mays (GSFC),2013-09-29T224000-CME-001
"2013-10-02T14:39Z(-7.0h, +7.0h)",13.32,NA,2013-09-30T03:32Z,45.8,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-09-29T224000-CME-001
2013-10-02T14:56Z,13.6,NA,NA,NA,Max Kp Range: 3.0 - 5.5, Average of all Methods ,Auto Generated (CCMC),2013-09-29T224000-CME-001
2013-10-02T19:00Z,17.67,NA,2013-09-30T15:05Z,34.25,Max Kp Range: -- - 6.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-09-29T224000-CME-001
"2013-10-02T21:00Z(-7.0h, +7.0h)",19.67,NA,2013-10-01T01:39Z,23.68,NA, WEC ,RWC Jeju (KSWC),2013-09-29T224000-CME-001
"2013-10-03T00:00Z(-6.0h, +6.0h)",22.67,NA,2013-09-30T12:59Z,36.35,Max Kp Range: -- - 5.0,SIDC ,Leila Mays (GSFC),2013-09-29T224000-CME-001
2013-10-24T18:00Z,NA,NA,2013-10-23T13:29Z,28.52,Max Kp Range: -- - 5.0,SIDC ,Leila Mays (GSFC),2013-10-22T043600-CME-001
2013-10-25T06:02Z,NA,NA,NA,NA,Max Kp Range: 2.5 - 4.75, Average of all Methods ,Auto Generated (CCMC),2013-10-22T043600-CME-001
"2013-10-25T08:19Z(-10.3h, +10.9h)",NA,NA,2013-10-22T16:04Z,64.25,Max Kp Range: 2.0 - 5.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-10-22T043600-CME-001
"2013-10-25T09:51Z(-7.0h, +7.0h)",NA,NA,2013-10-22T13:37Z,68.23,Max Kp Range: 3.0 - 4.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-10-22T043600-CME-001
2013-10-25T12:00Z,NA,NA,2013-10-22T13:15Z,70.75,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-10-22T043600-CME-001
"2013-10-25T15:00Z(-4.0h, +4.0h)",NA,NA,2013-10-25T07:09Z,7.85,NA,DBM ,Manuela Temmer (UNIGRAZ),2013-10-22T220000-CME-001
"2013-10-26T02:30Z(-7.0h, +7.0h)",NA,NA,2013-10-23T19:51Z,54.65,Max Kp Range: 4.0 - 5.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-10-22T220000-CME-001
"2013-10-26T03:12Z(-10.0h, +10.0h)",NA,NA,2013-10-24T17:58Z,33.23,NA, STOA ,Leila Mays (GSFC),2013-10-22T220000-CME-001
"2013-10-26T05:00Z(-7.0h, +7.0h)",-47.67,NA,2013-10-24T15:12Z,85.47,Max Kp Range: 5.0 - 7.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-10-24T014800-CME-001
2013-10-26T10:07Z,NA,NA,NA,NA,Max Kp Range: 4.0 - 4.0, Average of all Methods ,Auto Generated (CCMC),2013-10-22T220000-CME-001
2013-10-26T16:00Z,NA,NA,2013-10-25T01:16Z,38.73,Max Kp Range: -- - 3.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-10-22T220000-CME-001
"2013-10-26T16:03Z(-7.0h, +7.0h)",-36.62,NA,2013-10-24T18:55Z,81.75,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-10-24T014800-CME-001
"2013-10-26T23:53Z(-10.0h, +10.0h)",-55.28,NA,2013-10-26T00:21Z,78.82,NA, STOA ,Leila Mays (GSFC),2013-10-25T151200-CME-001
2013-10-27T00:00Z,NA,NA,2013-10-23T17:11Z,78.82,NA,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-10-22T220000-CME-001
2013-10-27T00:00Z,NA,NA,2013-10-24T13:08Z,58.87,NA,SIDC ,Leila Mays (GSFC),2013-10-22T220000-CME-001
"2013-10-27T00:00Z(-7.0h, +7.0h)",-28.67,NA,2013-10-26T01:28Z,51.2,NA, WEC ,RWC Jeju (KSWC),2013-10-24T014800-CME-001
2013-10-27T03:15Z,-25.42,NA,NA,NA,Max Kp Range: 4.0 - 6.0, Average of all Methods ,Auto Generated (CCMC),2013-10-24T014800-CME-001
2013-10-27T20:28Z,-34.7,NA,NA,NA,NA, Average of all Methods ,Auto Generated (CCMC),2013-10-25T151200-CME-001
2013-10-28T00:00Z,-31.17,NA,2013-10-26T13:46Z,65.4,NA,SIDC ,Leila Mays (GSFC),2013-10-25T151200-CME-001
"2013-10-28T04:00Z(-7.0h, +7.0h)",-27.17,NA,2013-10-27T00:18Z,54.87,NA, WEC ,RWC Jeju (KSWC),2013-10-25T151200-CME-001
2013-10-28T06:00Z,-25.17,NA,2013-10-25T21:15Z,81.92,NA,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-10-25T151200-CME-001
2013-10-28T16:00Z,11.33,NA,2013-10-25T01:16Z,75.4,NA,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-10-24T014800-CME-001
"2013-12-07T13:45Z(-4.0h, +4.0h)",-10.25,NA,2013-12-06T16:10Z,31.83,Max Kp Range: 3.0 - 6.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-12-04T231200-CME-001
2013-12-07T15:52Z,-8.13,NA,NA,NA,Max Kp Range: 2.5 - 5.0, Average of all Methods ,Auto Generated (CCMC),2013-12-04T231200-CME-001
"2013-12-07T18:00Z(-7.0h, +7.0h)",-6,NA,2013-12-06T01:09Z,46.85,Max Kp Range: 2.0 - 4.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-12-04T231200-CME-001
"2013-12-14T18:11Z(-16.1h, +13.9h)",4.18,NA,2013-12-13T15:15Z,22.75,Max Kp Range: 2.0 - 6.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-12-12T035400-CME-001
2013-12-14T23:16Z,9.27,NA,NA,NA,Max Kp Range: 2.5 - 4.66667, Average of all Methods ,Auto Generated (CCMC),2013-12-12T035400-CME-001
2013-12-15T00:00Z,10,NA,2013-12-13T00:30Z,37.5,Max Kp Range: -- - 4.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-12-12T035400-CME-001
"2013-12-15T03:38Z(-7.0h, +7.0h)",13.63,NA,2013-12-12T17:09Z,44.85,Max Kp Range: 3.0 - 4.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-12-12T035400-CME-001
2014-01-07T08:00Z,-6.43,NA,2014-01-06T19:26Z,19,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-01-04T212500-CME-001
"2014-01-07T12:00Z(-12.0h, +12.0h)",-2.43,NA,2014-01-05T23:30Z,38.93,NA,ips.gov.au ,Leila Mays (GSFC),2014-01-04T212500-CME-001
2014-01-07T15:00Z,0.57,NA,NA,NA,Max Kp Range: 3.0 - 5.0, Average of all Methods ,Auto Generated (CCMC),2014-01-04T212500-CME-001
"2014-01-07T16:03Z(-7.0h, +7.0h)",1.62,NA,2014-01-05T16:56Z,45.5,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-01-04T212500-CME-001
2014-01-08T00:00Z,9.57,NA,2014-01-05T12:27Z,49.98,NA,SIDC ,Leila Mays (GSFC),2014-01-04T212500-CME-001
2014-01-08T12:30Z,-31.03,NA,2014-01-08T05:58Z,37.57,NA, ESA ,Leila Mays (GSFC),2014-01-07T182400-CME-001
2014-01-08T22:00Z,-21.53,NA,2014-01-08T03:17Z,40.25,Dst min. in nT: -146 Dst min. time: 2014-01-09T11:00Z ,Anemomilos ,WKent Tobiska (SET SWD),2014-01-07T182400-CME-001
"2014-01-09T00:17Z(-6.9h, +9.2h)",-19.25,NA,2014-01-08T04:11Z,39.35,Max Kp Range: 6.0 - 8.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-01-07T182400-CME-001
"2014-01-09T00:38Z(-7.0h, +7.0h)",-18.9,NA,2014-01-08T00:41Z,42.85,Max Kp Range: 6.0 - 8.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-01-07T182400-CME-001
2014-01-09T01:00Z,-18.53,NA,2014-01-08T23:00Z,20.53,Dst min. in nT: -142 Dst min. time: 2014-01-09T12:00Z ,Anemomilos ,WKent Tobiska (SET SWD),2014-01-07T182400-CME-001
2014-01-09T02:00Z,-17.53,NA,2014-01-08T17:53Z,25.65,Max Kp Range: 8.0 - 9.0,BHV ,Volker Bothmer (UGOE),2014-01-07T182400-CME-001
"2014-01-09T04:00Z(-6.0h, +6.0h)",-15.53,NA,2014-01-08T09:42Z,33.83,NA,DBM ,Manuela Temmer (UNIGRAZ),2014-01-07T182400-CME-001
"2014-01-09T04:30Z(-2.5h, +2.5h)",-15.03,NA,2014-01-08T05:02Z,38.5,Max Kp Range: 5.0 - 8.0,SIDC ,Leila Mays (GSFC),2014-01-07T182400-CME-001
2014-01-09T06:35Z,-12.95,NA,NA,NA,Max Kp Range: 6.0 - 7.625, Average of all Methods ,Auto Generated (CCMC),2014-01-07T182400-CME-001
2014-01-09T08:00Z,-11.53,NA,2014-01-08T01:31Z,42.02,Max Kp Range: 6.0 - 7.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-01-07T182400-CME-001
2014-01-09T08:02Z,-11.5,NA,2014-01-08T16:37Z,26.92,NA,ESPM,Alisson Dallago (INPE),2014-01-07T182400-CME-001
"2014-01-09T11:22Z(-11.7h, +9.1h)",-8.17,NA,2014-01-09T18:57Z,0.58,Max Kp Range: 3.0 - 5.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-01-07T182400-CME-001
"2014-01-09T12:00Z(-7.0h, +7.0h)",-7.53,NA,2014-01-08T06:32Z,37,NA, WEC ,RWC Jeju (KSWC),2014-01-07T182400-CME-001
"2014-01-09T13:00Z(-7.0h, +7.0h)",-6.53,NA,2014-01-08T23:17Z,20.25,Max Kp Range: 6.0 - 8.0, WEC ,Duty Forecaster (ASFC),2014-01-07T182400-CME-001
"2014-01-09T19:26Z(-10.0h, +10.0h)",-0.1,NA,2014-01-07T21:00Z,46.53,NA, STOA ,Leila Mays (GSFC),2014-01-07T182400-CME-001
"2014-01-10T04:04Z(-16.0h, +36.0h)",8.53,NA,2014-01-08T14:56Z,28.6,Max Kp Range: 8.0 - 8.0Dst min. in nT: -300 ,COMESEP ,Andy Devos (SIDC),2014-01-07T182400-CME-001
"2014-01-16T21:09Z(-7.0h, +7.0h)",-44.97,NA,2014-01-14T17:41Z,96.43,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-01-14T102400-CME-001
2014-01-17T13:00Z,-29.12,NA,2014-01-14T19:43Z,94.4,Max Kp Range: -- - 4.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-01-14T102400-CME-001
2014-01-17T15:23Z,-26.73,NA,NA,NA,Max Kp Range: 3.0 - 4.5, Average of all Methods ,Auto Generated (CCMC),2014-01-14T102400-CME-001
"2014-01-18T12:00Z(-12.0h, +12.0h)",-6.12,NA,2014-01-15T10:41Z,79.43,NA,SIDC ,Leila Mays (GSFC),2014-01-14T102400-CME-001
2014-02-02T04:00Z,-19.3,NA,2014-01-31T17:22Z,53.93,Max Kp Range: -- - 5.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-01-30T162400-CME-001
"2014-02-02T05:44Z(-11.4h, +10.0h)",-17.57,NA,2014-01-31T15:47Z,55.52,Max Kp Range: 4.0 - 6.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-01-30T162400-CME-001
"2014-02-02T07:49Z(-7.0h, +7.0h)",-15.48,NA,2014-01-31T05:09Z,66.15,Max Kp Range: 4.0 - 6.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-01-30T162400-CME-001
2014-02-02T12:00Z,-11.3,NA,2014-01-30T21:49Z,73.48,NA,SIDC ,Leila Mays (GSFC),2014-01-30T162400-CME-001
2014-02-02T16:00Z,-7.3,NA,NA,NA,Max Kp Range: 4.0 - 5.66667, Average of all Methods ,Auto Generated (CCMC),2014-01-30T162400-CME-001
"2014-02-03T16:42Z(-7.0h, +7.0h)",NA,NA,2014-02-01T13:45Z,50.95,Max Kp Range: 4.0 - 6.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-01-31T163400-CME-001
"2014-02-03T17:20Z(-6.0h, +9.1h)",NA,NA,2014-02-02T02:44Z,38.6,Max Kp Range: 3.0 - 6.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-01-31T163400-CME-001
2014-02-04T01:00Z,NA,NA,NA,NA,Max Kp Range: 3.5 - 5.0, Average of all Methods ,Auto Generated (CCMC),2014-01-31T163400-CME-001
"2014-02-04T02:28Z(-40.0h, +80.0h)",27.17,NA,2014-01-31T08:16Z,63.03,NA,COMESEP ,Andy Devos (SIDC),2014-01-30T162400-CME-001
2014-02-04T17:00Z,NA,NA,2014-02-01T11:25Z,77.58,Max Kp Range: -- - 3.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2014-01-31T163400-CME-001
"2014-02-06T20:39Z(-18.0h, +23.0h)",-19.62,NA,2014-02-05T02:38Z,61.63,Max Kp Range: 2.0 - 5.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-02-04T012500-CME-001
"2014-02-07T00:38Z(-7.0h, +7.0h)",-15.63,NA,2014-02-05T00:25Z,63.85,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2014-02-04T012500-CME-001
2014-02-07T06:04Z,-10.2,NA,NA,NA,Max Kp Range: 2.5 - 4.66667, Average of all Methods ,Auto Generated (CCMC),2014-02-04T012500-CME-001
2014-02-07T09:00Z,-7.27,NA,2014-02-05T01:42Z,62.57,NA, WEC ,RWC Jeju (KSWC),2014-02-04T012500-CME-001
2014-02-07T18:00Z,1.73,NA,2014-02-04T13:11Z,75.08,Max Kp Range: -- - 4.0,SIDC ,Leila Mays (GSFC),2014-02-04T012500-CME-001
